Sheet: Параметры Платформенный стрим
ПиРМ,Модель,6. Необходимость реализации пилотной модели (MVP),"Этапы 05A (Разработка пилотной модели), 05B (Пилотирование модели); активирует работы AutoML по созданию прототипа конвейера обучения",Общий,Бинарный выбор (Да / Не требуется),Не требуется,"Radio-группа: «Не требуется» | «Да»;
при «Да» — разворачиваются этапы 05A и 05B в итоговой таблице оценки;
связан с п.8: если п.8 = «Да», п.6 принудительно выставляется «Да» с уведомлением;
тултип: «Для поддержки пилота обязательна разработка прототипа модели»"
ПиРМ,Модель,7. Сложность алгоритма / тип ML задачи (>1 для каскадов и ансамблей),"Этапы 05 (Разработка модели), 09 (Адаптация и внедрение); определяет коэффициент сложности разработки и требования к ML-библиотекам и ресурсному пулу AutoML",Общий,Составной: Многозначный выбор (Checkbox-группа из 8 типов ML),Табличные данные,"Группа чекбоксов (8 вариантов) с коэффициентом рядом с каждым;
ВАЛИДАЦИЯ: кол-во выбранных ≤ значению п.1 «Кол-во моделей» — иначе ошибка «Кол-во типов ML превышает кол-во моделей»;
при каскаде (>1 выбрано) — показать суммарный итоговый коэффициент = произведение выбранных"
ПиРМ,Модель,7.1. Тип ML: Табличные данные,"Этапы 05, 09; наименее ресурсоёмкий тип (коэф. 0.75)",Общий,Чекбокс-коэффициент (Выбрать / Нет),Да (0.75),"Checkbox с меткой «×0.75» (зелёный бейдж — снижающий коэф.);
включён по умолчанию, если п.7 первый раз открывается"
ПиРМ,Модель,7.2. Тип ML: Текстовая аналитика — Классические модели,"Этапы 05, 09; требует NLP-библиотек в AutoML (коэф. 1.25)",Общий,Чекбокс-коэффициент (Выбрать / Нет),— (не выбрано),Checkbox с бейджем «×1.25»
ПиРМ,Модель,7.3. Тип ML: Текстовая аналитика — LLM,"Этапы 05, 09; требует GPU-ресурсов и специализированных библиотек (коэф. 1.4)",Общий,Чекбокс-коэффициент (Выбрать / Нет),— (не выбрано),"Checkbox с бейджем «×1.4»;
при выборе — подсказка «Убедитесь что в п.11 выбран канал LLM»"
ПиРМ,Модель,7.4. Тип ML: Аудио аналитика,"Этапы 05, 09; требует специфических данных и библиотек обработки аудио (коэф. 1.6)",Общий,Чекбокс-коэффициент (Выбрать / Нет),— (не выбрано),Checkbox с бейджем «×1.6»
ПиРМ,Модель,7.5. Тип ML: Компьютерное зрение (CV),"Этапы 05, 09; требует GPU, специализированных библиотек CV (коэф. 1.8)",Общий,Чекбокс-коэффициент (Выбрать / Нет),— (не выбрано),Checkbox с бейджем «×1.8»
ПиРМ,Модель,7.6. Тип ML: Оптимизационная задача,"Этапы 05, 09; высокие вычислительные требования (коэф. 2.5)",Общий,Чекбокс-коэффициент (Выбрать / Нет),— (не выбрано),Checkbox с бейджем «×2.5» (оранжевый — высокий коэф.)
ПиРМ,Модель,7.7. Тип ML: Гео-аналитика,"Этапы 05, 09; требует геопространственных данных и специфических библиотек (коэф. 3.0)",Общий,Чекбокс-коэффициент (Выбрать / Нет),— (не выбрано),"Checkbox с бейджем «×3.0» (оранжевый);
при выборе — подсказка «Убедитесь что в п.11 выбран канал Гео-сервисы»"
ПиРМ,Модель,7.8. Тип ML: Графовая аналитика,"Этапы 05, 09; требует графовой платформы (коэф. 3.5)",Общий,Чекбокс-коэффициент (Выбрать / Нет),— (не выбрано),"Checkbox с бейджем «×3.5» (красный — наивысший коэф.);
при выборе — подсказка «Убедитесь что в п.11 выбран канал Графовая платформа»"
ПиРМ,Модель,8. Необходимость поддержки проведения пилота,"Этапы 05A, 05B; активирует дополнительный ресурс на сопровождение пилотирования",Общий,Бинарный выбор (Да / Не требуется),Не требуется,"Radio-группа: «Не требуется» | «Да»;
при «Да» — автоматически устанавливает п.6 = «Да» + показывает уведомление;
тултип: «Для поддержки пилота требуется реализация прототипа модели (п.6)»"
ПиРМ,Модель,9. Необходимость AutoML,"Этап 05 (Разработка модели) — работы конвейера AutoML: встраивание кода, преобразования данных, постановка на переобучение, ML-библиотеки",Общий,Бинарный выбор (Да / Не требуется),Не требуется,"Radio-группа: «Не требуется» | «Да»;
при «Да» — жёлтый баннер «AutoML предполагает продуктивизацию — выберите канал внедрения в п.11»;
при «Да» — блоки п.10 и п.11 становятся обязательными (красная рамка если пусты)"
ПиРМ,Объект / Набор данных,10. Необходимость продуктивизации и кол-во дополнительных витрин,Этап 07 (Разработка витрины для применения модели); определяет объём работ Feature Store по созданию и изменению признаков / объектов хранения,Общий,Составной: Бинарный выбор + Числовой счётчик,Не требуется / 2 витрины,"Radio-группа: «Не требуется» | «Да»;
при «Да» — появляется Stepper «Кол-во доп. витрин» (мин. 1, шаг 1);
тултип: «Основание — необходимость продуктивизации модели или реализация AutoML»;
если п.9 = «Да» и п.10 = «Не требуется» — предупреждение «Рекомендуется указать кол-во витрин»"
ПиРМ,Информационный сервис,11. Необходимость продуктивизации и каналы внедрения моделей,"Этапы 07 (Витрина применения), 09 (Адаптация и внедрение); определяет тип подключения в Feature Store (пакетный / потоковый) и ресурсы DAG Airflow",Общий,Составной: Бинарный выбор + Многозначный выбор (Checkbox-группа из 11 каналов),Батч,"Radio-группа: «Не требуется» | «Да»;
при «Да» — разворачивается Checkbox-группа 11.1–11.11;
ИТОГОВЫЙ коэффициент = максимальный из выбранных каналов (показывается динамически);
тултип: «Итоговый коэффициент определяется по наиболее сложному каналу»;
если п.9 = «Да» и п.11 = «Не требуется» — ошибка «AutoML требует выбора канала внедрения»"
ПиРМ,Информационный сервис,11.1. Канал: Батч,"Этапы 07, 09; подключение пакетного источника данных в Feature Store (коэф. 0.5)",Общий,Чекбокс-коэффициент (Выбрать / Нет),Да (0.5),"Checkbox с бейджем «×0.5» (зелёный — снижающий);
подключение пакетного источника данных в Feature Store"
ПиРМ,Информационный сервис,11.2. Канал: Батч + загрузка данных потребителю,"Этапы 07, 09; пакетная выгрузка + доставка потребителю (коэф. 0.75)",Общий,Чекбокс-коэффициент (Выбрать / Нет),— (не выбрано),Checkbox с бейджем «×0.75»
ПиРМ,Информационный сервис,11.3. Канал: Батч + Онлайн,"Этапы 07, 09; гибридный режим пакетного и онлайн-обслуживания (коэф. 1.2)",Общий,Чекбокс-коэффициент (Выбрать / Нет),— (не выбрано),Checkbox с бейджем «×1.2»
ПиРМ,Информационный сервис,11.4. Канал: Онлайн,"Этапы 07, 09; подключение потокового источника в Feature Store (коэф. 1.0)",Общий,Чекбокс-коэффициент (Выбрать / Нет),— (не выбрано),Checkbox с бейджем «×1.0»
ПиРМ,Информационный сервис,11.5. Канал: Онлайн GPU,"Этапы 07, 09; онлайн с GPU-ресурсами (коэф. 1.25)",Общий,Чекбокс-коэффициент (Выбрать / Нет),— (не выбрано),Checkbox с бейджем «×1.25»
ПиРМ,Информационный сервис,11.6. Канал: Стриминг,"Этапы 07, 09; подключение потокового источника в Feature Store (коэф. 1.5)",Общий,Чекбокс-коэффициент (Выбрать / Нет),— (не выбрано),"Checkbox с бейджем «×1.5»;
при выборе — подсказка «Требуется настройка DAG в Airflow»"
ПиРМ,Информационный сервис,11.7. Канал: Мобильные устройства,"Этапы 07, 09; внедрение модели в мобильный канал (коэф. 1.75)",Общий,Чекбокс-коэффициент (Выбрать / Нет),— (не выбрано),Checkbox с бейджем «×1.75»
ПиРМ,Информационный сервис,11.8. Канал: LLM,"Этапы 07, 09; внедрение через LLM-сервис (коэф. 2.0)",Общий,Чекбокс-коэффициент (Выбрать / Нет),— (не выбрано),"Checkbox с бейджем «×2.0» (оранжевый);
при выборе — перекрёстная подсказка «Рекомендуется выбрать п.7.3 Текстовая аналитика — LLM»"
ПиРМ,Информационный сервис,11.9. Канал: Гео-сервисы,"Этапы 07, 09; внедрение через геосервис (коэф. 2.25)",Общий,Чекбокс-коэффициент (Выбрать / Нет),— (не выбрано),"Checkbox с бейджем «×2.25» (оранжевый);
при выборе — перекрёстная подсказка «Рекомендуется выбрать п.7.7 Гео-аналитика»"
ПиРМ,Информационный сервис,11.10. Канал: Внедрение в облаке,"Этапы 07, 09; развёртывание в облачной инфраструктуре (коэф. 2.5)",Общий,Чекбокс-коэффициент (Выбрать / Нет),— (не выбрано),Checkbox с бейджем «×2.5» (красный)
ПиРМ,Информационный сервис,11.11. Канал: Графовая платформа,"Этапы 07, 09; внедрение через графовую платформу (коэф. 3.0)",Общий,Чекбокс-коэффициент (Выбрать / Нет),— (не выбрано),"Checkbox с бейджем «×3.0» (красный);
при выборе — перекрёстная подсказка «Рекомендуется выбрать п.7.8 Графовая аналитика»"
,,,,,,,

Sheet: Типы
Тип параметра,UX-компонент,Описание
Числовой счётчик,Stepper / Number input,"Целое число ≥ 0, кнопки +/−"
Числовой коэффициент,Number input (десятичный),"Десятичное число, шаг 0.05"
Бинарный выбор (Да / Нет),Radio / Toggle,Два варианта; может быть 3-й вариант «Неизвестно»
Шкала сложности (4 значения),Segmented Control,Неизвестно | Низкая | Средняя | Высокая
Шкала объёма по сущностям (6 значений),Segmented Control / Slider,Т(1-4) | М(5-9) | С(9-15) | К(15-20) | Б(20-25) | Мас.(25+)
Шкала детализации (4 значения),Segmented Control,Неизвестно | Низкая | Средняя | Высокая
Шкала объёма изменений (3 значения),Segmented Control,Малое | Среднее | Большое
Многозначный выбор (чекбоксы),Checkbox Group,Несколько значений из набора одновременно
Выпадающий список (9 вариантов),Dropdown Select,Один из 9 классов моделей
Чекбокс-коэффициент (Применить / Нет),Checkbox + badge коэффициента,Включить повышающий коэффициент; рядом — значение коэффициента
Числовой счётчик (кол-во сценариев),Stepper (≥ 1),Количество сценариев; влияет на степенной коэффициент
Шкала сложности (5 уровней),Segmented Control / Radio (5 вариантов),Уровни регуляторной сложности 1–5 с тултипами
Составной блок (аккордеон),Accordion + вложенные компоненты,Свёрнут по умолчанию; итоговое значение в заголовке
Выпадающий список (диапазоны),Select / Dropdown,Фиксированные диапазоны сроков или стоимости
Таблица рисков (матрица),"Table: строки = риски, Dropdown × 2",Вероятность × Влияние; цветовая тепловая карта по значению
Составной: Radio + Stepper,Radio (вкл/выкл) + Stepper,Stepper появляется только при активном Radio-значении «Да»
Составной: Radio + Checkbox-группа,Radio (вкл/выкл) + Checkbox Group,Checkbox-группа появляется только при «Да»; итог — по максимальному коэффициенту

Sheet: Топ-5 параметров
Архитектурный компонент ,Параметр,Тип параметра,Откуда бралось
Модельный сервис,Канал внедрения,Составной: Бинарный выбор + Многозначный выбор (Checkbox-группа из 11 каналов),
Модельный сервис,Необходимость пилота,Бинарный выбор,
Модельный сервис,Необходимость создания ИС,Бинарный выбор,
Модельный сервис,Необходимость создания нового сервиса,Бинарный выбор,
Модельный сервис,Тип работ,"Выбор значений из справочника  (Разработка, доработка, внедрение)",
Источник данных,Тип источника,Выбор значений из справочника (внутренний или внешний),
Источник данных,Необходимость пилота,Бинарный выбор,
Источник данных,Стандартная форма NDA,Выбор (да/ нет / неизвестно),
Источник данных,Тип работ,"Выбор значений из справочника (разработка, доработка)",
Источник данных,Обмен конфиденциальными данными,Бинарный выбор (требуется/ не требуется),
Объект данных,Тип работ ,"Выбор значений из справочника  (Разработка, доработка, без изменений)",Новое решение или доработка существующего
Объект данных,Содержит конфиденциальные данные,Выбор (да/ нет / неизвестно),Решение предусматривает обмен конфиденциальными данными
Объект данных,Необходимость хэширования/шифрования,Выбор (да/ нет / неизвестно),Решение предусматривает хэширование/шифрование
Объект данных,Сложность логики,"Выбор значений из справочника (высокая, средняя, низкая, неизвестно)",Сложность логики формирования витрины и предметной области. Оценивается лидером команды/стрима исполнителя на основании опыта и профиля команды.
Объект данных,Объем запроса по сущностям,"Выбор значений из справочника (крупное, масштабное, точечное, среднее,большое, малое, неизвестно )",Объем запроса по сущностям. Ориентировочное соотвествие оценки к сущностям: Т: 1-4 М: 5-9 С: 9-15 К: 15-20 Б: 20-25 М: 25+. Соотвествие не точное и может отличаться. Оценивается лидером команды/стрима исполнителя на опыта работы с подобными сущностями и количества описывающих сущность атрибутов.
Процесс обработки данных,Тип работ ,"Выбор значений из справочника  (Разработка, доработка, без изменений)",
Процесс обработки данных,Обмен конфиденциальными данными,Выбор (да/ нет / неизвестно),Решение предусматривает обмен конфиденциальными данными
Процесс обработки данных,Необходимость хэширования/шифрования,Выбор (да/ нет / неизвестно),Решение предусматривает хэширование/шифрование
Процесс обработки данных,Двусторонний обмен данными,Выбор (да/ нет / неизвестно),Решение предусматривает двусторонний обмен данными
Процесс обработки данных,Форма предоставления данных,Выбор из справочника,Данные необходимы заказчику непосредственно или через витрины / модель
Модель,Тип работ,"Выбор значений из справочника  (обучение с нуля, повторное обучение)",
Модель,Тип алгоритма,Выбор значений из справочника,
Модель,Необходимость AutoML,Бинарный выбор,
Модель,Класс моделей,Выбор значений из справочника,
Модель,Вид контроля,Выбор значений из справочника,
