Стрим;Арх. Компонент;Название оригинальное;Название в смарт-анкете СУМ;Контекст;Тип работы;Наличие норматива;Параметр-триггер;Параметры трудоемкости;Формула;Результат выбора;Кто может заполнить;Вопросы;Справочник;Комментарии по итогу встречи 08.06
ИД. Внешний;Арх. Компонент. Процесс обработки данных;Доработка внутренней документации и инфрмационных ресурсов группы;Этап 217. Доработка внутренней документации и инфрмационных ресурсов группы;Этап 217;Опциональная;0,9;Тип системы-источника (внешний);"1. Тип работ
2. Способ предоставления данных заказчику";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Способ предоставления данных заказчику]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
  — Способ предоставления данных заказчику: Непосредственно→0.8; Опосредованно→1.2; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 0,9 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Способ предоставления данных заказчику]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Способ предоставления данных заказчику: Непосредственно→0.8; Опосредованно→1.2; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Процесс обработки данных;Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Этап 218. Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Этап 218;Опциональная;0,7;Тип системы-источника (внешний);1. Сложность реализации;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 0,7 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Процесс обработки данных;Планирование и работа с бэклогом;Этап 218. Планирование и работа с бэклогом;Этап 218;Опциональная;1,1;Тип системы-источника (внешний);1. Сложность реализации;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 1,1 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Процесс обработки данных;Сбор и анализ требований;Этап 218. Сбор и анализ требований;Этап 218;Опциональная;1,1;Тип системы-источника (внешний);1. Сложность реализации;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 1,1 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Процесс обработки данных;Составление модели данных s2t;Этап 218. Составление модели данных s2t;Этап 218;Опциональная;1,2;Тип системы-источника (внешний);—;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив; 0,1) = Норматив  (параметров трудоёмкости нет)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости: нет (только норматив).

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 1,2 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив; 0,1) = Норматив  (параметров трудоёмкости нет) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости: — (нормативные работы этапа, индивидуальные множители не задаются).
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Процесс обработки данных;Составление БТ;Этап 218. Составление БТ;Этап 218;Опциональная;1,3;Тип системы-источника (внешний);1. Сложность реализации;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 1,3 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Процесс обработки данных;Согласование артефактов Озера данных, участие в Тестировании и ПСИ;Этап 218. Согласование артефактов Озера данных, участие в Тестировании и ПСИ;Этап 218;Опциональная;0,7;Тип системы-источника (внешний);1. Сложность реализации;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 0,7 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Процесс обработки данных;Доработка внутренней документации и инфрмационных ресурсов группы;Этап 218. Доработка внутренней документации и инфрмационных ресурсов группы;Этап 218;Опциональная;0,9;Тип системы-источника (внешний);—;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив; 0,1) = Норматив  (параметров трудоёмкости нет)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости: нет (только норматив).

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 0,9 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив; 0,1) = Норматив  (параметров трудоёмкости нет) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости: — (нормативные работы этапа, индивидуальные множители не задаются).
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Объект данных;Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Этап 218. Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Этап 218;Опциональная;0,7;Тип системы-источника (внешний);1. Сложность реализации;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 0,7 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Объект данных;Планирование и работа с бэклогом;Этап 218. Планирование и работа с бэклогом;Этап 218;Опциональная;1,1;Тип системы-источника (внешний);1. Сложность реализации;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 1,1 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Объект данных;Сбор и анализ требований;Этап 218. Сбор и анализ требований;Этап 218;Опциональная;1,1;Тип системы-источника (внешний);1. Сложность реализации;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 1,1 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Объект данных;Составление модели данных s2t;Этап 218. Составление модели данных s2t;Этап 218;Опциональная;1,2;Тип системы-источника (внешний);—;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив; 0,1) = Норматив  (параметров трудоёмкости нет)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости: нет (только норматив).

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 1,2 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив; 0,1) = Норматив  (параметров трудоёмкости нет) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости: — (нормативные работы этапа, индивидуальные множители не задаются).
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Объект данных;Составление БТ;Этап 218. Составление БТ;Этап 218;Опциональная;1,3;Тип системы-источника (внешний);1. Сложность реализации;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 1,3 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Объект данных;Согласование артефактов Озера данных, участие в Тестировании и ПСИ;Этап 218. Согласование артефактов Озера данных, участие в Тестировании и ПСИ;Этап 218;Опциональная;0,7;Тип системы-источника (внешний);1. Сложность реализации;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 0,7 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Объект данных;Доработка внутренней документации и инфрмационных ресурсов группы;Этап 218. Доработка внутренней документации и инфрмационных ресурсов группы;Этап 218;Опциональная;0,9;Тип системы-источника (внешний);—;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив; 0,1) = Норматив  (параметров трудоёмкости нет)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости: нет (только норматив).

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 0,9 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив; 0,1) = Норматив  (параметров трудоёмкости нет) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости: — (нормативные работы этапа, индивидуальные множители не задаются).
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Источники данных?;Сбор и анализ требований по изменениям;Этап 219. Сбор и анализ требований по изменениям;Этап 219;Опциональная;2;"Не понятно условие появления работ
Тип системы-источника (внешний)";"1. Объем изменений в ТИС
2. Необходимость изучения регламентов Банка
3. Необходимо пересогласование артефакта";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Объем изменений в ТИС] × [Необходимость изучения регламентов Банка] × [Необходимо пересогласование артефакта]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Объем изменений в ТИС: Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
  — Необходимость изучения регламентов Банка: Да→1; Нет→0; Неизвестно→1
  — Необходимо пересогласование артефакта: Да→1; Нет→0; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Не понятно условие появления работ; Тип системы-источника (внешний).
2) Норматив: 2 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Объем изменений в ТИС] × [Необходимость изучения регламентов Банка] × [Необходимо пересогласование артефакта]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Объем изменений в ТИС: Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25)→1.75; Неизвестно→1.25
— Необходимость изучения регламентов Банка: Да→1; Нет→0; Неизвестно→1
— Необходимо пересогласование артефакта: Да→1; Нет→0; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;ТИС пишется для какого арх. компонента?;;"Решение отложено: вопрос привязки ТИС (этап 219) к арх. компоненту — выносится на следующую встречу, так как ТИС не привязывается к отдельному решению, дорабатывается раз в квартал по совокупности — нужен механизм ""процентного соотношения к любым работам"" либо нетиповая работа."
ИД. Внешний;Источники данных?;Системный анализ;Этап 219. Системный анализ;Этап 219;Опциональная;3,8;Тип системы-источника (внешний);"1. Объем изменений в ТИС
2. Необходимость изучения регламентов Банка
3. Необходимо пересогласование артефакта";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Объем изменений в ТИС] × [Необходимость изучения регламентов Банка] × [Необходимо пересогласование артефакта]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Объем изменений в ТИС: Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
  — Необходимость изучения регламентов Банка: Да→1; Нет→0; Неизвестно→1
  — Необходимо пересогласование артефакта: Да→1; Нет→0; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 3,8 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Объем изменений в ТИС] × [Необходимость изучения регламентов Банка] × [Необходимо пересогласование артефакта]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Объем изменений в ТИС: Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25)→1.75; Неизвестно→1.25
— Необходимость изучения регламентов Банка: Да→1; Нет→0; Неизвестно→1
— Необходимо пересогласование артефакта: Да→1; Нет→0; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;ТИС пишется для какого арх. компонента?;;Решение отложено (см. строку 87).
